geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,
are,UAE,,,,,,32.6,,,,,22.4,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,
arg,Argentina,,,,,,,,,,,44,46.9,38.3,38.1,41.1,34.9,43.5,46.1,43.6,40.1,39.2,47.8,43.7,39.7,55,43.8,39.8,34.9,32.5,37.3,38.7,33.7,28.7,37.5,30.1,41.4,74.2,34.3,
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,
bdi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,
ben,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,
bfa,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,198,,
bgd,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,195.862,,172,169,165,163,,,
bgr,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74172
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13826,14.57655,20.26342,16.1195,11.08525,11.45607,34.37214,
bhs,Bahamas,,,,,,,,,,,64,,,17,19,38,187,,40,39,90,,68,55,131,99,,62,68,64,65.8,22.9,114.9,23.3,118.5,92.7,248.8,212.1,
blr,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14153,,,,
blz,Belize,,,,,,,,,,,,,,117.84,28.12,68.37139,55.44006,92.67841,40.44762,63.85696,134.10219,69.59911,85.28785,42.45684,53.90836,96.81881,,70.09673,13.79691,54.75702,107.49798,84.50704,134.37248,115.3107,137.5705,57.20824,225.39,56.64,78.83
bol,Bolivia,373,416,,,,,390,,,,,,,,,,,,229,,,,,,,,160,,,,,,,,,,,,
bra,Brazil,,,,,,,,,,,115.7,103.2,109.7,110.2,92.3,73.3,70.9,75.9,73,76.1,74.7,77.2,77,68.1,72.4,68.9,61.8,59.3,62.1,63.8,62,64.4,64.5,59.1,57.9,74.7,117.4,57.7,
brb,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,58,60.2,30.6,33.7,,34.8,1.15,,40.5,78.1,83.7,131,139.3,178.3
btn,Bhutan,,,,,,,,,380,,,,,,255.64,,,,,,,,,145.7,,,,,,,,,,,,,,,
bwa,Botswana,,,,,,,,,,,,,,,,,,,,,157.7,139.79,183.47,195.73,189.57,163,188.86,147.9,182.6,151.6,127,156.6,143.2,133.7,166.3,130.5,240,,
